Subject,word,repetition,token,Frame,X,Y
NJ0205c,pan,H,pan_H,24,512,186
NJ0205c,pan,H,pan_H,25,520,192
NJ0205c,pan,H,pan_H,26,527,199
NJ0205c,pan,H,pan_H,27,534,206
NJ0205c,pan,H,pan_H,28,540,214
NJ0205c,pan,H,pan_H,29,544,223
NJ0205c,pan,H,pan_H,30,549,232
NJ0205c,pan,H,pan_H,31,555,240
NJ0205c,pan,H,pan_H,32,561,248
NJ0205c,pan,H,pan_H,33,567,256
NJ0205c,pan,I,pan_I,1,285,268
NJ0205c,pan,I,pan_I,2,293,260
NJ0205c,pan,I,pan_I,3,301,252
NJ0205c,pan,I,pan_I,4,309,244
NJ0205c,pan,I,pan_I,5,316,236
NJ0205c,pan,I,pan_I,6,323,227
NJ0205c,pan,I,pan_I,7,331,219
NJ0205c,pan,I,pan_I,8,339,211
NJ0205c,pan,I,pan_I,9,347,204
NJ0205c,pan,I,pan_I,10,357,198
NJ0205c,pan,I,pan_I,11,366,192
NJ0205c,pan,I,pan_I,12,376,186
NJ0205c,pan,I,pan_I,13,386,181
NJ0205c,pan,I,pan_I,14,396,176
NJ0205c,pan,I,pan_I,15,405,170
NJ0205c,pan,I,pan_I,16,414,164
NJ0205c,pan,I,pan_I,17,424,159
NJ0205c,pan,I,pan_I,18,435,156
NJ0205c,pan,I,pan_I,19,446,155
NJ0205c,pan,I,pan_I,20,457,155
NJ0205c,pan,I,pan_I,21,468,156
NJ0205c,pan,I,pan_I,22,479,159
NJ0205c,pan,I,pan_I,23,489,163
NJ0205c,pan,I,pan_I,24,499,168
NJ0205c,pan,I,pan_I,25,508,174
NJ0205c,pan,I,pan_I,26,517,181
NJ0205c,pan,I,pan_I,27,526,188
NJ0205c,pan,I,pan_I,28,532,197
NJ0205c,pan,I,pan_I,29,538,206
NJ0205c,pan,I,pan_I,30,544,216
NJ0205c,pan,I,pan_I,31,551,225
NJ0205c,pan,I,pan_I,32,557,234
NJ0205c,pan,I,pan_I,33,562,244
NJ0205c,pan,J,pan_J,1,316,223
NJ0205c,pan,J,pan_J,2,325,219
NJ0205c,pan,J,pan_J,3,333,214
NJ0205c,pan,J,pan_J,4,342,209
NJ0205c,pan,J,pan_J,5,351,205
NJ0205c,pan,J,pan_J,6,359,199
NJ0205c,pan,J,pan_J,7,367,194
NJ0205c,pan,J,pan_J,8,374,187
NJ0205c,pan,J,pan_J,9,382,181
